UnitPrice,CustomerID
2.95,18074
2.75,17850
2.95,14688
2.55,15311
2.75,17850
2.95,15311
18.0,12583
3.75,12583
3.75,16098
1.85,17850
0.42,14688
2.55,14688
1.95,12583
1.95,15311
4.95,13047
2.1,15311
2.95,15311
2.55,14688
2.1,13047
2.55,17850
0.55,14688
4.25,17850
3.75,12583
2.1,16098
1.65,16098
0.85,12583
3.75,12583
3.39,17850
6.75,15311
1.25,12583
10.95,15100
1.25,15311
4.95,17850
2.1,13047
6.45,18074
0.85,15311
2.55,17850
0.85,15311
0.65,18074
4.25,17850
0.65,12583
3.75,14688
3.75,12583
2.95,12583
1.69,15311
5.95,13047
4.95,13047
2.95,15311
4.25,17850
3.39,17850
1.85,17850
1.65,12583
1.65,14688
1.95,14688
1.25,15311
2.95,18074
1.06,15311
1.85,17850
0.85,15311
3.39,17850
1.06,17850
2.95,12583
2.55,15311
2.95,15311
1.45,15311
3.39,17850
5.95,18074
1.65,15311
12.75,18074
1.06,17850
7.65,17850
1.25,15311
3.39,17850
4.65,15311
2.55,17850
1.95,12583
7.65,17850
2.55,17850
2.95,12583
2.55,13748
1.85,17850
0.42,12583
1.06,17850
0.85,15311
1.25,15311
3.75,14688
2.55,15291
16.95,16098
5.95,16098
0.85,14688
1.85,17850
2.95,18074
1.25,15311
1.65,13047
2.1,17850
0.85,16098
5.95,13047
1.06,17850
1.95,16098
3.95,15311
14.95,16098
7.65,17850
1.06,17850
4.95,15311
3.39,17850
3.95,18074
6.95,17850
1.85,17850
2.95,14688
4.25,13047
4.95,17850
2.55,18074
1.45,15311
1.95,12583
1.65,18074
3.39,17850
4.95,17850
3.75,16098
4.95,15311
14.95,16098
1.95,14688
0.55,14688
1.65,15311
1.95,14688
4.95,17850
2.95,15311
6.95,18074
7.95,13047
1.06,17850
4.25,15311
4.25,13047
0.85,14688
0.38,14688
